id,context,question,A,B,C,D,answer
50,【南华仪器：信披不准确董事长等收到广东证监局警示函】财联社10月12日电，南华仪器公告，公司近日收到广东证监局关于对公司杨耀光、梁伟明、周柳珠、伍颂颖采取出具警示函措施的决定。经查，公司2022年业绩预告与2022年年度报告中披露的相关数据相比差异较大，信息披露不准确。根据相关规定，广东证监局决定对公司董事长杨耀光、总经理梁伟明、财务总监周柳珠、董事会秘书伍颂颖采取出具警示函的行政监管措施。,南华仪器收到广东证监局警示函的原因是什么？,公司财务数据与年报相差较大,公司董事长涉嫌违法行为,公司业绩预告未达到市场预期,公司信息披露不充分,A
51,【 都市丽人（02298.HK）午后再次拉升股价涨超17%】财联社 2月24日 电，都市丽人午后拉升，截至发稿，股价涨17%，报0.445港元。月内股价累计涨幅1.1倍，机构称公司受惠线下消费回暖。,都市丽人（02298.HK）股价上涨原因是什么？,公司新闻发布了利好消息,公司获得了一笔巨额投资,公司受益于线下消费回暖,公司宣布并购了一家竞争对手,C
52,"2023年8月3日，财联社电，浩通科技高管余志灏提出减持计划，因为个人资金需求,持股人原持股份1590000股，减持上市公司股份不超过97500股，计划减持股份比例不超过公司股份总数的0.09%,减持日期至2023年12月29日",浩通科技高管余志灏的减持计划是基于以下哪个原因？,个人资金需求,公司股份总数超过预期,股价下跌导致减持,公司业绩下滑导致减持,A
53,财联社7月18日电，有投资者问，董秘，电声领域，公司以人工智能及无线音频为突破口，持续提升语音交互及物联网等产品开发能力。公司与小米、华为等知名企业合作较为顺利，均是属于公司的重要客户，在汽车领域上，公司的电声产品有与他们合作吗？或者和其他汽车公司合作？奋达科技在互动平台表示，公司暂未与小米、华为等企业在汽车领域有合作。,奋达科技在汽车领域的合作情况如何？,公司与小米、华为等企业在汽车领域有合作,公司与其他汽车公司有合作,公司暂未与小米、华为等企业在汽车领域有合作,公司在汽车领域没有任何合作,C
54,【 恒勃股份：公司目前业务暂未应用人工智能领域】财联社 6月19日电，恒勃股份在互动平台表示，公司在新能源车领域的产品应用正逐步拓宽，公司已量产应用于PHEV车型的进气系统零部件，并获得客户纯电动 汽车的冷却系统零部件订单。公司目前业务暂未应用人工智能领域。,关于恒勃股份的业务应用情况，以下哪个选项是正确的？,公司的业务已经应用人工智能领域,公司的产品已应用于传统燃油车领域,公司已经获得客户纯电动汽车的进气系统零部件订单,公司正在拓宽新能源车领域的产品应用,C
55,【首航高科：受让慧添新能源40%股权】财联社10月13日电，首航高科公告，为进一步开发光热发电项目，近日，公司与海南慧天企业管理有限公司签署了《股权转让协议》。首航高科拟以0元受让慧天企管所持有的瓜州慧添新能源开发有限公司40%的股权认缴份额（对应慧添新能源800.00万元注册资本）。,首航高科与海南慧天企业管理有限公司签署的《股权转让协议》是为了？,扩大光热发电项目规模,减少慧添新能源的注册资本,增加首航高科的股权比例,购买海南慧天企业管理有限公司的股权,A
56,"""【 卫龙（09985.HK）尾盘涨约7%机构看好公司23年享受提价红利】财联社 2月8日电，，次新股卫龙尾盘涨约7%。 海通国际（00665.HK）最新的研究认为，卫龙是辣条行业领导者，疫后有场景修复的弹性。高端化持续进行，2023年有望享受提价红利。截至发稿，卫龙涨7.10%，报10.86港元。""",卫龙公司的股价涨幅以及机构看好的原因是什么？,股价涨幅约为5%，主要是因为产品疫后需求增加。,股价涨幅约为7%，主要是因为卫龙是辣条行业领导者。,股价涨幅约为9%，主要是因为公司展望2023年有望享受提价红利。,股价涨幅约为7%，主要是因为卫龙已推行高端化战略。,B
57,【国际原子能机构总干事视察日本福岛第一核电站并设立办事处】财联社 7月5日电，据日本广播协会5日报道，当地时间5日，国际原子能机构（IAEA）总干事格罗西视察日本福岛第一核电站，并在该核电站内开设了IAEA职员常驻的办事处。,国际原子能机构总干事格罗西视察了以下哪个核电站，并设立了办事处？,福岛第一核电站,福岛第二核电站,南海核电站,广西核电站,A
58,【广州地铁遭受恐怖袭击？警方：系谣言正在追查造谣者】财联社10月12日电，一则“广州地铁遭受恐怖袭击”的信息在网络社交平台传播。广州警方立即开展核查。经查，广州辖区未收到任何相关警情，广州地铁运行正常，全市社会治安秩序正常，该信息系谣言。目前，警方正在追查造谣者。,关于广州地铁恐怖袭击的信息，下列哪个选项是正确的？,广州警方已确认广州地铁遭受恐怖袭击,广州地铁已经停运，暂时关闭,广州辖区已接到多起与地铁恐怖袭击有关的警情,广州地铁正常运行，社会治安秩序正常,D
59,【郭明𫓹：中国手机市场底部将过将重拾成长】财联社10月13日电，郭明𫓹13日在X（原推特）上发文表示，中国手机市场底部将过，预期将重拾成长。十一长假手机销售显著成长约15%YoY，4Q23手机出货QoQ与YoY亦预期均重拾成长。Android品牌已无杀价竞争，且成本亦较过去数年下降，故有利品牌商利润。,根据资讯内容，中国手机市场底部将过将重拾成长。以下哪个选项是正确的理由？,十一长假手机销售下降了约15%YoY,Android品牌的杀价竞争还在继续,过去数年下降的成本对品牌商利润没有影响,郭明𫓹在发文中提到中国手机市场的底部将过,D
60,【国产光刻机工厂落地雄安？中国电子院澄清：这是北京高能同步辐射光源】财联社9月18日电，一则消息在各大视频平台广为传播，称清华大学EUV项目把ASML的光刻机巨大化，实现了光刻机国产化，并表示这个项目已经在雄安新区落地。对此，中国电子工程设计院有限公司（中国电子院）9月18日发声，称该项目并非网传的国产光刻机工厂，而是北京高能同步辐射光源项目（HEPS）。,关于国产光刻机工厂在雄安新区落地的说法，下列哪个选项是正确的？,国产光刻机工厂项目是在清华大学进行的,国产光刻机工厂项目已经在雄安新区实施,国产光刻机工厂项目是北京高能同步辐射光源项目,国产光刻机工厂项目是由中国电子院负责的,C
61,【今年1至9月我国新建主干油气管道突破2500公里】财联社10月14日电，今年以来，我国大力推动油气管网基础设施建设，一批国家重点项目加速建设、顺利投产，1到9月份我国新建主干油气管道里程突破2500公里，创历史新高。,今年1至9月我国新建主干油气管道突破2500公里，这一数据在以下哪个方面可以得到佐证？,国内石油供需关系,国际油价走势,国内能源消费量,国内油气管网建设速度,D
62,【粮农组织称过去30年全球农业因灾害损失约3.8万亿美元】财联社10月14日电，联合国粮食及农业组织（粮农组织）13日发布一份有关灾害对全球农业生产和粮食安全影响的评估报告，其中指出灾害事件在过去30年中导致作物和牲畜产量损失约3.8万亿美元。报告指出，全球灾害事件发生频率从上世纪70年代的每年约100起增加到过去20年的每年约400起，灾害事件的强度和复杂性也在上升。,根据联合国粮农组织的评估报告，以下哪个陈述是正确的？,过去30年全球的灾害事件导致了农业损失约1万亿美元。,过去30年全球的灾害事件导致了农业损失约5万亿美元。,过去30年全球的灾害事件导致了农业损失约2万亿美元。,过去30年全球的灾害事件导致了农业损失约4万亿美元。,D
63,【半导体巨头铠侠和西数或于本月达成合并协议】财联社10月13日电，据日本共同社，正在为经营合并而展开磋商的半导体巨头铠侠控股（东京）与合作方美国西部数据公司（WD）预计最快于本月内达成协议。若实现合并，半导体存储器业务将达到全球最大规模。新设立的控股公司在以设备投资为目的容易筹集资金的预期下，打算在美国纳斯达克上市。鉴于半导体存储器市场状况恶化，将通过合理经营谋求生存。,半导体巨头铠侠和西数的合并协议预计最快在本月达成，以下选项中哪个是正确的？,合并后的新控股公司将在美国纳斯达克上市,合并后的新控股公司将在日本东京上市,合并后的新控股公司将在中国上海上市,合并后的新控股公司将在欧洲伦敦上市,A
64,"【华绿生物：拟与思威博设立合资公司】财联社10月13日电，华绿生物公告，公司与江苏思威博生物科技有限公司(简称“思威博”)签署《合作协议》，各方同意共同出资设立合资公司。合资公司注册资本1,000.00万元，其中，公司出资510.00万元，持有合资公司51.00%股权；思威博出资490.00万元，持有合资公司49.00%股权。",华绿生物和思威博生物科技有限公司签署了什么协议?,合作协议,投资协议,竞争协议,合并协议,A
65,【济民医疗：与日本小田医院签署战略合作协议】财联社10月15日电，济民医疗公告，公司与日本小田医院共同签署《战略合作协议》，双方拟在深化公司控股子公司博鳌国际医院有限公司与日本小田医院的合作关系、启动细胞治疗技术领域研究及临床应用的合作、合作开展细胞培养基国产化项目展开合作。,济民医疗与哪家日本医院签署了战略合作协议?,小田医院,博鳌国际医院,另一家未提及的日本医院,合作协议中没有提到具体合作的医院,A
66,"""财联社2月6日电，有投资者问，公司占隆深机构人12.63%，请问隆深机器人的业绩情况如何？该公司主要业务能介绍 一下吗？ 友阿股份（002277.SZ）在互动平台表示，1、公司于2017年参股隆深机器人，目前仅占其注册资本的12.63%，公司不直接参与其日常经营管理。2、隆深机器人主要业务为工业机器人本体。""",隆深机器人的主要业务是什么？,人力资源服务,工业机器人本体,金融投资,互联网技术,B
67,【中国医药：子公司诺氟沙星胶囊视同通过仿制药一致性评价】财联社10月12日电，中国医药公告，近日，公司下属全资子公司天方有限收到国家药监局核准签发的一份诺氟沙星胶囊《药品补充申请批准通知书》，该药品视同通过仿制药质量和疗效一致性评价。诺氟沙星胶囊属于氟喹诺酮类抗感染药，适用于敏感菌所致的尿路感染、淋病、前列腺炎、肠道感染和伤寒及其他沙门菌感染。,中国医药公告的子公司诺氟沙星胶囊视同通过了什么评价?,国家药监局核准签发的批准通知书,全球医药批准机构的认可证书,国际药品研发机构的授予荣誉称号,互联网药品监管机构的认证证书,A
68,【均普智能：相关产线生产的终端产品会上车华为HI模式或智选模式相关车型】财联社10月13日电，均普智能在互动平台表示，公司为客户提供车载控制系统装配智能产线，据了解相关产线生产的终端产品会上车华为HI模式或智选模式相关车型。,均普智能提供的车载控制系统装配智能产线使用的终端产品会上车哪种模式的相关车型？,华为AR模式相关车型,华为智选模式相关车型,华为AI模式相关车型,华为低能耗模式相关车型,B
69,"""【 国药现代（600420.SH）：子公司注射用头孢美唑钠通过仿制药一致性评价】财联社 2月8日电，国药现代公告，近日，公司控股子公司国药致君收到国家药监局核准签发的《药品补充申请批准通知书》，批准注射用头孢美唑钠（0.5g）通过仿制药质量和疗效一致性评价。""",国药现代子公司的注射用头孢美唑钠通过了什么评价?,化妆品一致性评价,药品一致性评价,食品安全评价,环境保护评价,B
70,【境外黄脊竹蝗迁飞入境云南3000亩林地受损害】财联社8月20日电，近日，记者从云南省林草局获悉，今年黄脊竹蝗于6月18日跨越边境线从老挝本怒县、丰沙里县直接进入云南江城牛洛河自然保护区，随后在7月24日迁飞规模达到最大。部分种群可能向西双版纳州勐腊县、红河州绿春县迁飞。截至8月17日，云南3004.5亩林地受到黄脊竹蝗不同程度损害，危害程度以轻度为主，尚未成灾。,黄脊竹蝗对云南林地的损害情况是？,林地受损害程度轻微,林地受损害程度严重,黄脊竹蝗没有对林地造成损害,黄脊竹蝗已经灭绝,A
71,财联社6月16日电，有投资者问，请问贵公司有没有水电与虚拟电厂的业务？赣能股份在互动平台表示，公司主营火力、水力及新能源发电，所属水电厂两家，总装机规模10万千瓦，分别为居龙潭水电厂和抱子石水电厂，装机容量分别为23万千瓦和22万千瓦，分别位于江西省赣州市和九江市修水县。另外，公司受托管理江投集团下辖江西东津发电有限责任公司，装机容量为23万千瓦，公司暂无虚拟电厂业务。,赣能股份的主营业务包括哪些？,火力、水力及新能源发电,水电和虚拟电厂业务,水力、新能源发电及虚拟电厂业务,火力和虚拟电厂业务,
72,【证券时报评论：科技白马股频现闪崩的市场寓意】财联社 10月14日讯，证券时报头版评论称，在科技浪潮席卷A股市场，叠加券商资管理财产品、公募基金大量发行的背景下，科技白马股出现廉价筹码派发的可能性并不大，闪崩更大的意义在于引导资金回归基本面、淡化投机，同时也意味着机构资金在科技白马股的选择上将进入以盈利增长驱动的第二阶段。,科技白马股闪崩市场的寓意是什么？,科技白马股将出现廉价筹码派发,闪崩意味着资金回归基本面、淡化投机,科技白马股的选择将进入盈利增长驱动的第一阶段,机构资金将选择其他行业投资,
73,【国家林草局：我国森林资源逐步盘活全国林权抵押贷款余额1300多亿元】财联社10月12日电，国新办12日就《深化集体林权制度改革方案》有关情况举行发布会。国家林业和草原局副局长唐芳林介绍，我国森林资源逐步盘活。围绕回答“钱从哪里来”，创新林权融资机制，推动集体林资源变资产、资产变资金。建立了林权抵押贷款制度，全国林权抵押贷款余额1300多亿元，成为支持林业生态建设和产业发展的重要资金来源。,国家林草局建立了哪项机制？,林权融资机制,生态建设机制,资产变资金机制,集体林权制度改革机制,
74,【耀皮玻璃：子公司天津耀皮浮法玻璃二线停产冷修】财联社10月12日电，耀皮玻璃公告，公司控股子公司天津耀皮浮法玻璃生产线TSYP2（简称“TSYP2”）于2013年4月28日点火投产，目前运行已超预期寿命，窑炉等主要设备已老化，能耗较高，蓄热室格子体也已开始出现堵塞和坍塌的现象，继续生产将影响产品成品率，因此，TSYP2生产线将于10月14日停产冷修，进行技改升级。,天津耀皮浮法玻璃生产线停产的原因是什么？,设备老化，能耗较高,产品成品率下降,窑炉爆炸,技改升级,
75,【吉尔吉斯斯坦批准与俄罗斯建立联合区域防空系统的协议】财联社10月12日电，吉尔吉斯斯坦总统办公厅10月12日发布消息称，吉尔吉斯斯坦批准了与俄罗斯关于建立联合区域防空系统的协议。吉尔吉斯斯坦总统办公厅发布的消息表示，协议的批准确认了吉尔吉斯斯坦加强与俄罗斯战略关系的承诺，并促进了两国在国防与安全领域进一步合作的发展。这将确保两国领空得到更可靠的保护，加强对国家利益的安全和保护。,吉尔吉斯斯坦与俄罗斯建立联合区域防空系统的协议是为了什么目的？,加强两国的经济合作,加强两国的军事合作,加强两国的文化交流,加强两国的环境保护,
76,【尖峰集团：子公司甲磺酸仑伐替尼胶囊获药品注册证书】财联社10月12日电，尖峰集团公告，近日，控股子公司浙江尖峰药业收到国家药监局核准签发的甲磺酸仑伐替尼胶囊《药品注册证书》，标志着尖峰药业具有进行该药品生产，销售的资格。甲磺酸仑伐替尼是一款由日本卫材研发的多靶点的靶向抗癌药，同时对血管内皮细胞生长因子、成纤维细胞生成因子、血小板源生长因子受体及RET与KIT的口服小分子酪氨酸激酶抑制剂。,甲磺酸仑伐替尼胶囊获得药品注册证书的意义是什么？,甲磺酸仑伐替尼胶囊已经被证实对多种癌症有效。,甲磺酸仑伐替尼胶囊有望成为治疗癌症的首选药物。,尖峰集团已经具备了甲磺酸仑伐替尼胶囊的生产和销售资格。,甲磺酸仑伐替尼胶囊是一款日本研发的抗癌药物。,
77,【太钢不锈：拟设立太钢不锈临汾子公司】财联社10月13日电，太钢不锈公告，为了做大做强公司中厚板产线产品，充分拓展公司在临汾的发展空间，公司在原山西太钢不锈钢股份有限公司临汾分公司的基础上独家出资设立子公司山西太钢临汾中厚板有限公司，注册资本7000万元，注销山西太钢不锈钢股份有限公司临汾分公司。,太钢不锈公司拟设立太钢不锈临汾子公司的目的是什么？,扩大公司在临汾的发展空间,提高中厚板产线产品的产量,注销山西太钢不锈钢股份有限公司临汾分公司,减少公司在临汾的投资,
78,【 新化股份：拟合资兴建一期1万吨/年的废旧锂回收生产线】财联社 6月30日电，新化股份公告，与江苏耀宁新能源有限公司、上海添乾咨询管理合伙企业（有限合伙）在建德市共同出资成立合资公司，合资公司将投资兴建一期1万吨/年的废旧锂回收生产线。,新化股份拟与哪两家公司合作建设废旧锂回收生产线?,江苏耀宁新能源有限公司和上海添乾咨询管理合伙企业,江苏耀宁新能源有限公司和建德市政府,上海添乾咨询管理合伙企业和建德市政府,江苏耀宁新能源有限公司和江苏新化新能源科技有限公司,
79,【锂矿股再度反弹融捷股份涨超6%】财联社10月12日电，锂矿股早盘再度反弹，融捷股份涨超6%，中矿资源、永兴材料、江特电机、天齐锂业、赣锋锂业等跟涨。五矿期货指出，国内外新能源汽车增速较去年放缓，但仍保持同比约40%的高速增长。2023年预计全球锂离子电池产量超过1300GWh，对应碳酸锂需求约为86万吨，较去年增长30%-40%。,锂矿股反弹，以下哪只股票跟涨幅度最高?,融捷股份,中矿资源,永兴材料,江特电机,
80,【 华西股份：实际控制人拟发生变更】财联社 7月20日电，华西股份公告，实际控制人华西村委会拟将其持有的江苏华西集团有限公司80%股权转让给江阴联华优化调整产业投资合伙企业（有限合伙）；本次权益变动后公司控股股东仍为华西集团，公司实际控制人将由华西村委会变更为江阴市人民政府国有资产监督管理办公室。,华西股份的实际控制人将发生变更，将股权转让给哪家企业？,华西村委会,江阴联华优化调整产业投资合伙企业,华西集团,江阴市人民政府国有资产监督管理办公室,
81,【央行货币政策司邹澜：降低存量房贷利率工作已基本接近尾声】财联社10月13日电，今日在央行举行的三季度金融统计数据发布会上，央行货币政策司司长邹澜表示，近期一系列利率政策取得显著成效，市场反应良好，后续效果还将持续显现。降低存量房贷利率工作已基本接近尾声。老百姓普遍反映存量房贷利率降低，明显减少了利息负担，降低了提前还贷动力，增加投资和消费信心和能力，预计此项措施效应还将持续。,央行货币政策司司长邹澜表示，降低存量房贷利率工作已基本接近尾声，这一措施的效果如何？,降低存量房贷利率取得了显著成效,降低存量房贷利率对市场反应不佳,降低存量房贷利率对老百姓没有明显减少利息负担,降低存量房贷利率没有增加投资和消费信心和能力,
82,【国内期货主力合约涨跌不一低硫燃料油（LU）涨超2%】财联社10月12日电，国内期货主力合约涨跌不一，低硫燃料油（LU）涨超2%、丁二烯橡胶涨近2%，菜油、苯乙烯、燃油涨超1%。下跌方面，焦炭跌超1%。,以下哪个期货主力合约涨幅最高？,低硫燃料油（LU）,丁二烯橡胶,菜油,焦炭,
83,【国家林草局：集体林地产出每亩约300元比林改前增长3倍多】财联社10月12日电，国务院新闻办公室12日举行新闻发布会，介绍《深化集体林权制度改革方案》有关情况。国家林业和草原局副局长唐芳林介绍，围绕回答“单家独户怎么办”，推动林权流转和林业规模经营。培育家庭林场、专业大户、林业合作社等林业新型经营主体近30万个。集体林地产出每亩约300元，比林改前增长3倍多。,深化集体林权制度改革方案的目标是什么？,培育家庭林场、专业大户、林业合作社等新型经营主体,推动林权流转和林业规模经营,使集体林地的产出每亩增长三倍以上,解决单家独户面临的问题,
84,【奥拓电子：公司为华为提供过LED显示解决方案及相关产品】财联社10月12日电，奥拓电子在互动平台表示，公司为华为提供过LED显示解决方案及相关产品。同时，全资子公司南京奥拓自主开发的智能营销播控、智能客户分流等平台应用软件，完成华为及统信的产品适配认证，配合公司自主设计生产的排队机、LCD、LED等硬件产品，服务于金融、通讯、广告等各种需要排队分流和营销互动展示的行业客户。,奥拓电子公司为以下哪家公司提供过LED显示解决方案及相关产品？,华为,统信,南京奥拓,金融客户,
85,"""财联社4月7日电，有投资者问，公司收购三起汽车配件公司完成没有，不是说3月31号过户吗，怎么没有公告？ 联诚精密（002921.SZ）在互动平台表示，公司收购山东三起汽车配件公司的工作正在按照《股权转让协议》约定有序推进（包括但不限于股权交割前的资产验收和债权债务清理等工作），股权交割完成后，我们会及时进行公告。""",联诚精密收购三起汽车配件公司的进展情况如何？,进展顺利，已经完成股权交割,进展正常，但股权交割还未完成,进展缓慢，股权交割预计将延迟,进展困难，收购可能会失败,
86,【何小鹏：与大众集团联合开发的车型已在加速推进】财联社10月12日电，小鹏汽车董事长何小鹏在微博发文称，九月底其拜访了大众集团Wolfsburg总部。何小鹏表示，“过去几个月，我们联合开发的车型已在加速推进，双方的技术团队像一支创业团队一样，为了共同的目标，全情投入、全速前进；在供应链上推进的战略合作，将为我们带来共同降本的潜力。”,小鹏汽车与大众集团联合开发的车型的进展情况如何？,进展顺利，已在加速推进,进展一般，还需更多时间,进展缓慢，有一定的困难,进展失败，合作计划被取消,
87,【欧菲光：公司经营情况正常内外部经营环境未发生重大变化】财联社10月15日电，欧菲光披露股票交易异常波动的公告，截至目前公司经营情况正常，内外部经营环境未发生重大变化。公司未发现近期公共传媒报道了可能或已经对公司股票交易产生较大影响未公开重大信息。,欧菲光的经营环境是否发生重大变化？,经营环境有所改善,经营环境有所恶化,经营环境持续稳定,经营环境波动较大,
88,【通化金马：公司经营情况及内外部经营环境未发生重大变化】财联社10月15日电，通化金马披露股票交易异常波动公告，经核实，公司前期披露的信息未发现需要更正、补充之处。目前公司经营情况及内外部经营环境未发生重大变化。,通化金马公司前期披露的信息是否需要更正、补充？,是的，需要更正、补充,不需要更正、补充,无法确定是否需要更正、补充,经营情况及内外部经营环境发生了重大变化,
89,【氟化工板块震荡走高 联创股份涨超10%】财联社 7月12日电，氟化工板块震荡走高，联创股份涨超10%， 永和股份、 三美股份、 巨化股份、 新宙邦等跟涨。 光大证券研报认为，随着配额战的落幕，制冷剂市场转换为供给端受约束，需求段持续释放的利好局面。第三代HFCs制冷剂在未来占据市场主导地位，价格与价差将迎来大幅上涨空间。,根据资讯，下列哪个公司在氟化工板块中涨幅最高？,联创股份,永和股份,三美股份,巨化股份,
90,【申联生物：与上兽研签署《抗非洲猪瘟的蓝耳病基因工程活载体疫苗技术开发（合作）合同》】财联社10月13日电，申联生物公告，与中国农业科学院上海兽医研究所签署《抗非洲猪瘟的蓝耳病基因工程活载体疫苗技术开发（合作）合同》。双方拟共同开发抗非洲猪瘟的蓝耳病基因工程活载体疫苗，该疫苗能同时预防非洲猪瘟和猪蓝耳病。,申联生物与上兽研签署的合作合同目的是什么？,开发抗非洲猪瘟的蓝耳病基因工程活载体疫苗,开发抗非洲猪瘟的传统疫苗,开发抗猪蓝耳病的基因工程活载体疫苗,开发抗猪蓝耳病的传统疫苗,
91,【凯龙高科：拟转让江苏观蓝20%股权至扬州旭盛邦】财联社9月12日电，凯龙高科公告，公司转让江苏观蓝20%股权至扬州旭盛邦，转让完成后，扬州旭盛邦合计持有江苏观蓝30%股权，该部分股权全部用于对江苏观蓝管理团队以及核心骨干等实施股权激励计划。,以下关于凯龙高科的资讯，哪一个选项是正确的？,凯龙高科将转让江苏观蓝20%股权给扬州旭盛邦,凯龙高科将转让江苏观蓝30%股权给扬州旭盛邦,凯龙高科将转让江苏观蓝40%股权给扬州旭盛邦,凯龙高科将转让江苏观蓝10%股权给扬州旭盛邦,
92,"""财联社1月31日电，有投资者问，请问贵公司运营的游戏都是自己研发的吗？有多少是代理的？ 恺英网络（002517.SZ）在互动平台表示，公司主要业务包括手游与页游等精品娱乐内容的研发、运营及发行，网页游戏平台、移动应用分发平台的运营。公司运营的产品既有自研产品，也有代理产品，具体游戏产品信息，请您关注公司的官网、官微及官方公众号。""",恺英网络的游戏都是自己研发的吗？,是，恺英网络所有的游戏都是自己研发的,否，恺英网络所有的游戏都是代理的,恺英网络既有自研产品，也有代理产品,恺英网络只有代理产品,
93,【大元泵业：与华为、中兴在IDC温控领域推进的屏蔽齿轮泵项目继续深化推进中产品已实现小批量订单】财联社10月12日电，大元泵业在互动平台表示，公司与华为、中兴在IDC温控领域推进的屏蔽齿轮泵项目，相关合作在继续深化推进中。目前该产品已在部分客户中实现有小批量订单，同时我们也关注到，近期行业客户对该款产品的关注度在逐步提升，所接触的客户数量不断增加。,大元泵业在哪个领域推进屏蔽齿轮泵项目？,通信设备领域,温控领域,工业泵领域,客户服务领域,
94,【波兰启用长约200公里的波俄边境墙】财联社10月14日电，波兰内务和行政部长卡明斯基当地时间10月13日宣布，即日起，启用与俄罗斯接壤地带修建的长约200公里的边境墙。卡明斯基表示，边境墙启用后，波方可以全面掌握边境动态，任何非法越境企图都将立即被识别，距离最近的边防人员也将及时采取应对措施。,波兰为什么启用长约200公里的边境墙？,保护国家安全,限制移民人数,增强与俄罗斯的关系,控制边境商品贸易,
95,【伊朗外长阿卜杜拉希扬会见哈马斯领导人哈尼亚】财联社10月15日电，伊朗外交部长阿卜杜拉希扬在卡塔尔首都多哈会见巴勒斯坦伊斯兰抵抗运动（哈马斯）领导人哈尼亚。本次会面是巴以新一轮冲突爆发以来伊朗官员和哈马斯高层之间的首次会面。卡塔尔是伊朗外交部长中东地区之行的第四站。此前，他已访问伊拉克、叙利亚和黎巴嫩，并分别与三国高层及黎巴嫩真主党领导人就巴以局势的最新进展举行会谈。,伊朗外长阿卜杜拉希扬会见哈马斯领导人哈尼亚的首次会面发生在哪个国家？,伊朗,巴勒斯坦,卡塔尔,黎巴嫩,
96,【健康元：艾拉戈利钠片获得药物临床试验批准通知书】财联社10月13日电，健康元公告，公司控股子公司丽珠医药集团股份有限公司(称：丽珠集团)全资子公司丽珠集团丽珠制药厂(称：丽珠制药厂)收到国家药品监督管理局核准签发的《药物临床试验批准通知书》，批准艾拉戈利钠片开展“评价艾拉戈利钠片治疗子宫内膜异位症中度至重度疼痛患者的疗效、安全性的多中心、随机、双盲、安慰剂平行对照期临床试验”。,关于艾拉戈利钠片的临床试验批准通知书，以下哪项说法是正确的？,丽珠制药厂收到了国家药品监督管理局核准签发的《药物临床试验批准通知书》,丽珠制药厂将开展评价艾拉戈利钠片治疗子宫内膜异位症中度至重度疼痛患者的疗效的临床试验,丽珠制药厂将开展随机对照期临床试验,丽珠制药厂将开展安慰剂平行对照期临床试验,
97,"""【 金自天正（600560.SH）：部分工艺模型开发中会用到人工神经网络算法】财联社 2月2日电，金自天正在投资者互动平台表示，公司在2002年取得“人工神经元网络开发平台”计算机软件著作权。目前在部分工艺模型开发中会用到人工神经网络的算法。""",金自天正公司在工艺模型开发中使用到的算法是什么？,人工神经网络算法,遗传算法,模糊逻辑算法,粒子群优化算法,
98,【山西发布霜冻蓝色预警预计最低温度降至0以下】财联社10月12日电，山西省气象台12日10时00分发布霜冻蓝色预警，预警区域：大同、朔州、忻州、吕梁、阳泉北部、晋中东山、临汾北部、长治北部。受冷空气影响，预计未来48小时预警区域内地面最低温度将要下降到0以下，对农业将产生影响。,根据山西省气象台发布的预警，以下哪个地区将有霜冻现象出现？,大同,太原,晋城,吕梁,
99,【中国人民银行行长潘功胜会见美国财政部长耶伦】财联社10月13日电，中国人民银行行长、国家外汇管理局局长潘功胜在摩洛哥马拉喀什出席国际货币基金组织/世界银行年会期间应约会见了美国财政部长耶伦，就两国和世界经济金融形势、发展中国家债务,中国人民银行行长潘功胜会见美国财政部长耶伦的地点是哪里？,沙特,中国,美国,马拉喀什,
