id,context,question,A,B,C,D,answer
100,【英国商人JimRatcliffe在竞购曼联股份的竞争中再度处于领先位置】财联社10月13日电，英国商人JimRatcliffe在竞购曼联俱乐部股份的竞争中再度处于领先位置。曼联董事会称将在未来数天内的会议上讨论收购要约,关于曼联股份竞购的资讯，以下哪个选项是正确的?,曼联董事会已经决定同意Jim Ratcliffe的收购要约,卡塔尔方面已经放弃竞购曼联股份,Jim Ratcliffe目前处于竞购曼联股份的领先位置,曼联俱乐部不打算出售股份,
101,【金凯生科：与诺和诺德的合作涉及减肥产品与礼来的合作不涉及减肥产品】财联社10月13日电，金凯生科在互动平台表示，公司与诺和诺德、礼来保持长期合作，与诺和诺德的合作涉及减肥产品，与礼来的合作不涉及减肥产品。,金凯生科与哪家公司的合作涉及减肥产品？,诺和诺德,礼来,其他公司,没有涉及减肥产品,
102,【哈尔斯：第三季度净利润1.07亿元同比增长102.56%】财联社10月13日电，哈尔斯披露三季度报告，第三季度实现营业收入7.69亿元，同比增长27.67%；净利润约1.07亿元，同比增长102.56%；基本每股收益0.24元。,根据哈尔斯三季度报告，下列哪项数据同比增长超过100%？,营业收入,净利润,基本每股收益,没有数据超过100%的增长,
103,财联社6月19日电，有投资者问，董秘ficonTEC 在光模块领域新增的设备订单有超过 90%的份额都是应用于 800G 光模块设备；请问贵公司有采购ficonTEC 光模块生产设备？博创科技在互动平台表示，公司目前没有采购ficonTEC的设备。,博创科技是否有采购ficonTEC光模块生产设备？,有的,没有的,无法确定,没有提到,
104,【铭利达：公司是华为的一级供应商】财联社10月12日电，铭利达在互动平台表示，公司目前是华为的一级供应商，由于华为涉及行业应用领域较多，目前公司与华为方面保持了密切的沟通和合作，未来具备良好发展前景的行业双方均有可能进行合作。,华为是铭利达的一级供应商吗？,是,否,无法确定,没有提及,
105,财联社7月14日电，有投资者问，公司为比亚迪（002594）供货吗？特别是铜质材料的产品，铜电线这种？铜冠铜箔在互动平台表示，公司主要从事各类高精度电子铜箔的研发、制造和销售等，主要产品按应用领域分类包括 PCB 铜箔和锂电池铜箔，在锂电池铜箔领域客户包括比亚迪（01211.HK）、宁德时代（300750）、国轩高科（002074）等。公司从事少量铜扁线相关产品的生产和销售。,比亚迪（002594）是公司的主要客户吗？,是的，比亚迪是公司的主要客户。,不是，比亚迪不是公司的主要客户。,无法确定，文中没有提到比亚迪的相关信息。,没有提及公司的主要客户,
106,"财联社3月8日电，海天味业（603288.SH）出现1笔大宗交易。成交价格为77.3元,成交金额为850.3万元。买方为中信证券股份有限公司总部(非营业场所)，卖方为中信证券华南股份有限公司广州江南大道证券营业部。无溢价",海天味业（603288.SH）这次大宗交易的买方是谁?,中信证券股份有限公司总部(非营业场所),中信证券华南股份有限公司广州江南大道证券营业部,其他机构或个人,没有提及买方的具体名称,
107,【美国第二大人造钻石生产商WDLabGrownDiamonds申请破产】财联社10月13日电，日前，美国第二大人造钻石生产商WDLabGrownDiamonds根据美国破产法第7章向特拉华州一家破产法庭申请破产保护。该公司表示，其总负债近4400万美元，总资产约为300万美元，估计债权人数量在100至199人之间。,WDLabGrownDiamonds的申请破产保护是因为什么原因?,公司总负债太高,公司总资产太低,债权人数量太多,没有相应的佐证日本旅游作价值,
108,财联社9月5日电，有投资者问，请问贵公司的在煤炭有色等矿产资源领域有哪些技术服务应用？万德斯在互动平台表示，公司在煤炭行业领域主要涉及煤炭行业生产废水零排放治理。煤炭行业生产废水普遍含有多种杂质，成分复杂且处置环境受限，处理难度大，依托公司的膜应用技术、高级氧化技术与蒸发-结晶分盐技术等，可以在满足废水的回用的同时，使废水中硫酸钠等二价盐与氯化钠的分离，实现盐的无害化与资源化回收。,万德斯在煤炭行业领域主要涉及哪方面的技术服务应用？,煤炭行业的安全生产管理,煤炭行业的矿山设计与规划,煤炭行业生产废水零排放治理,煤炭行业的新能源应用,
109,【美国纽约市金融相关岗位数量达逾20年来最高水平】财联社10月13日电，根据美国纽约州审计长ThomasP.DiNapoli周四发布的报告，截至2023年前8个月，纽约证券业平均提供19.51万个就业岗位，他将这种强劲表现归因于2021年创纪录的利润带来的招聘激增。纽约市的证券从业人员数量达20多年来最高水平，但银行业低迷引发的裁员可能会使其中更多人面临风险。,根据报告，纽约证券业岗位数量的增长主要归因于什么原因？,利润的增加,纽约市的人口增长,投资者对证券市场的需求增加,美国经济的复苏,
110,【外交部美大司司长会见“中美经济二轨对话”美方代表团一行】财联社10月12日电，外交部美大司司长杨涛应约会见美国前贸易代表、美中关系全国委员会名誉会长希尔斯和美中关系全国委员会会长欧伦斯率领的“中美经济二轨对话”美方代表团一行。,“中美经济二轨对话”美方代表团一行在中国会见的人是谁？,杨涛,希尔斯,欧伦斯,美国前贸易代表,
111,【美联储12家地区联储 银行（515290.SH；515290.OF）同意一项向公众提供信息的共同政策】财联社 3月25日电，美联储的12家地区联储银行同意了一项针对公众要求提供信息的共同政策，并计划在今年年底前实施这些政策。这12家地区联储银行在纽约联储发布的一份联合声明中表示：“联邦储备银行致力于透明度和问责制，每家地区联储银行都有向公众提供信息的现有程序。”,根据资讯内容，以下哪个描述是正确的？,美联储的12家地区联储银行已经开始向公众提供信息的共同政策。,美联储的12家地区联储银行还在讨论是否向公众提供信息的共同政策。,美联储的12家地区联储银行计划在明年年底前实施向公众提供信息的共同政策。,美联储的12家地区联储银行决定不向公众提供信息的共同政策。,
112,【美亚柏科：华为是公司的战略合作伙伴、供应商及客户】财联社10月12日电，美亚柏科在互动平台表示，华为是公司的战略合作伙伴、供应商及客户，公司围绕战略和业务，与产业链上下游的优秀企业保持着良好的合作关系。,美亚柏科与华为公司的合作关系是什么？,美亚柏科是华为的竞争对手,美亚柏科只是华为的供应商,美亚柏科与华为没有任何合作关系,美亚柏科是华为的战略合作伙伴、供应商及客户,
113,"""【法国巴黎 银行（515290.SH；515290.OF）：美元已经见顶一个多年下跌趋势已开始】财联社 1月10日电，法国巴黎银行分析师表示，美元已经见顶，“一个多年的看跌趋势已经开始”。SamLynton-Brown等策略师在2023年展望报告中写道，美元的下一个大动作将是下跌，而不是上涨。策略师们认为美元还有进一步温和走高的空间，“不过，涨势可能短暂且幅度较浅”。""",根据法国巴黎银行分析师的观点，关于美元走势的判断是什么？,美元将持续上涨,美元将进一步温和走高,美元将大幅下跌,美元将保持相对稳定,
114,【双鹭药业：减肥药周制剂预计明年上半年完成临床研究】财联社10月15日电，双鹭药业在互动平台表示，减肥药周制剂目前正在期临床入组随访中，预计11月份能完成所有受试者的入组工作，明年上半年完成临床研究。该产品主要用于二型糖尿病治疗，次要疗效指标为减轻体重。,双鹭药业的减肥药周制剂研究的预计完成时间是什么时候？,今年年底,明年年底,明年上半年,明年下半年,
115,"""财联社3月20日电，有投资者问，董秘磷矿价格处在高位，对磷酸和磷酸铁等产品利润有影响吗？ 贵公司目前生产销售是否满产满销？ 川恒股份（002895.SZ）在互动平台表示，投资者公司根据市场及其他因素适时提升现有磷酸铁产量。目前公司自产磷矿基本能满足后端产品生产所需，目前生产经营正常。""",以下哪项对川恒股份（002895.SZ）的生产销售情况描写正确？,董秘磷矿价格处在高位，对磷酸和磷酸铁等产品利润有影响。,川恒股份目前生产销售未满产满销。,川恒股份根据市场及其他因素适时提高磷酸铁产量。,目前川恒股份的生产经营并不正常。,
116,【俄罗斯总统与阿塞拜疆总统在吉尔吉斯斯坦举行会谈讨论纳卡局势】财联社10月12日电，俄罗斯总统普京与阿塞拜疆总统阿利耶夫当地时间12日在吉尔吉斯斯坦比什凯克举行会谈，双方主要谈论了纳戈尔诺-卡拉巴赫（纳卡地区）的局势,俄罗斯总统普京与阿塞拜疆总统阿利耶夫在吉尔吉斯斯坦举行会谈，主要谈论了哪个地区的局势问题?,塔吉克斯坦,吉尔吉斯斯坦,阿塞拜疆,纳戈尔诺-卡拉巴赫,
117,【南风股份：公司在手订单正在持续增加】财联社10月13日电，南风股份接受调研时表示，前期受日本福岛事故影响，国内核电站建设放缓，核电领域招标订单确有减少，而近年受益于国内核电重启等的推动，公司在手订单正在持续增加。,南风股份的订单情况是如何的?,受日本福岛事故影响，国内核电站建设放缓，订单减少,近年受益于国内核电重启等的推动，订单持续增加,南风股份的订单量保持稳定，没有明显变化,南风股份的订单呈现波动，有时增加有时减少,
118,【LME金属普跌收跌】财联社10月13日电，LME金属普跌收跌，LME期铜收跌33美元，报7991美元/吨；LME期铝收跌14美元，报2200美元/吨；LME期锌收跌27美元，报2450美元/吨；LME期铅收跌40美元，报2054美元/吨；LME期镍收涨357美元，报18728美元/吨；LME期锡收跌107美元，报24812美元/吨。,以下哪种金属在LME收涨？,铜,铝,锌,镍,
119,【华新环保：拟投资建设高价值贵金属及有色金属提取项目】财联社10月13日电，华新环保公告，拟在安徽铜陵郊区经济开发区境内投资建设“高价值贵金属及有色金属提取项目”，主要生产铜、金、银、镍、锡等产品，项目总投资8亿元人民币。,华新环保计划在安徽铜陵郊区经济开发区投资建设的项目主要生产哪些产品？,铁、锰、钨,铜、金、银、镍、锡,锌、铝、铁,镍、钢、铝,
120,【欧洲央行管委卡兹米尔：欧洲央行可能要过一年才会考虑降息】财联社10月14日电，欧洲央行管委卡兹米尔表示，欧洲央行可能要过一年才会考虑降息。不认为欧洲央行会在明年夏天之前改变货币政策。欧洲央行目前的重点是维持高利率水平。,根据欧洲央行管委卡兹米尔的表态，以下哪个说法是正确的？,欧洲央行将很快考虑降息,欧洲央行将在明年夏天之前改变货币政策,欧洲央行目前的重点是维持低利率水平,欧洲央行管委卡兹米尔建议立即降息,
121,【华为产业链持续走高欧菲光6连板】财联社10月13日电，华为产业链盘中持续走高，欧菲光6连板，维信诺、东旭光电涨停，麦捷科技、东田微涨超10%，卓翼科技、荣联科技、格林精密等多股涨超5%。消息面上，欧菲光摄像头模组进入华为手机Mate60系列供应链，并占绝大部分份额，为了保证订单生产稳定，欧菲光南昌工厂增加多条产线。,欧菲光目前所供应的摄像头模组主要用于哪款手机的生产？,华为手机Mate60系列,华为手机P40系列,小米手机11系列,苹果iPhone 12系列,
122,【普利制药：创新药注射用PL002收到美国IND受理】财联社10月15日电，普利制药公告，全资子公司浙江普利药业有限公司于近日收到了FDA签发的注射用PL002创新药临床试验申请（IND）的受理通知。PL002是浙江普利药业有限公司研发的荧光/磁共振双模态造影剂，开发荧光/磁共振双模态造影剂成为提高原发性肝癌手术效率的有效方案。,PL002是以下哪种药物?,普利制药的创新药注射剂,普利制药的口服药物,普利制药的外用药膏,普利制药的注射用造影剂,
123,【本周末北方多地气温将创立秋后新低】财联社10月13日电，未来几天，受冷空气影响和降水影响，多地气温下滑明显，局地降幅可达10摄氏度左右。降温后，青海、西藏多地最低气温则会逐渐降到0摄氏度以下。预计本周末，新一股较强冷空气将影响我国北方偏北地区，新疆北部、华北、东北等地将先后有4到5级偏北风，多地气温或将创下立秋后新低。,本周末北方多地气温将创立秋后新低的原因是什么？,受冷空气影响和降水影响,新疆北部有4到5级偏北风,多地气温下滑明显,青海、西藏多地最低气温逐渐降到0摄氏度以下,
124,【俄国防部：俄出动战机监视一接近俄领空的美军侦察机】财联社10月15日电，俄罗斯国防部当地时间15日通报称，一架美国空军的“全球鹰”无人侦察机当天在黑海水域上空接近俄领空，俄防空力量的一架苏-27战机起飞对其进行监视，避免了本国领空被侵犯。在此过程中，俄方战机严格遵守国际准则。“全球鹰”无人机发现俄方战机后，完成转向飞离邻近俄罗斯空中疆界的空域。,"根据俄罗斯国防部通报，以下哪种情况发生在美国空军的""全球鹰""无人侦察机接近俄领空时？","美国空军的战机起飞拦截""全球鹰""无人侦察机","俄罗斯的战机起飞拦截""全球鹰""无人侦察机","俄罗斯的战机起飞与""全球鹰""无人侦察机进行监视","全球鹰""无人侦察机不受到任何干扰，成功进入俄领空",
125,【珠海冠宇：公司为华为供应的产品包括手机电池、笔记本电池等】财联社10月13日电，珠海冠宇在互动平台表示，华为是公司重要客户，公司为华为供应的产品包括手机电池、笔记本电池等一系列产品。此外，公司也是荣耀、苹果、小米、OPPO、Vivo等厂商的主要供应商。,珠海冠宇为哪些厂商供应产品？,华为、荣耀、苹果、小米、OPPO、Vivo,华为、荣耀、苹果,华为、小米、OPPO、Vivo,荣耀、苹果、小米,
126,财联社2月17日电，有投资者问，从22年8月开始，二级市场增加了不少融券业务，累计3.63亿，很异常的表现，是否公司存在内幕交易？ 广州港（601228.SH）在互动平台表示，公司股票作为融资融券标的证券，投资者依法融资买入或融券卖出系正常的市场交易行为；不存在泄露内幕消息的情况，感谢您对 广州港（601228.SH） 的关注。,广州港（601228.SH）是否存在内幕交易？,是的，公司存在内幕交易,不存在内幕交易,无法确定是否存在内幕交易,融券业务的增加不足以说明存在内幕交易,
127,【汽车产业链个股继续活跃瑞鹄模具涨停创历史新高】财联社10月13日电，汽车产业链个股表现活跃，瑞鹄模具涨停创历史新高，天龙股份、圣龙股份此前涨停，赛力斯、众泰汽车、浙江仙通、宁波高发等多股涨超5%。消息面上，昨日商务部等9部门联合发布《关于推动汽车后市场高质量发展的指导意见》。,以下哪个个股在汽车产业链中涨停创历史新高?,瑞鹄模具,天龙股份,圣龙股份,赛力斯,
128,【台经济部门证实台积电获美一年出口管制“豁免”】财联社10月13日电，美国商务部正在更新“经验证终端用户”名单，对中国大陆半导体相关设备出口管制措施，三星电子等韩国厂商获“无限期延长豁免”，台湾地区芯片制造商台积电则获得为期一年的“豁免”。台经济部门负责人王美花今天（13日）对此证实。台积电与韩国厂商的豁免期出现明显差异，引发关注。,台积电获得美国出口管制的豁免期是多久？,半年,一年,两年,三年,
129,【商务部发布首批《国别贸易指南》：为开拓国际市场提供帮助】财联社10月15日电，在第134届广交会举办期间，商务部对外贸易司、商务部外贸发展局10月15日在广州正式发布2023年《国别贸易指南》。《指南》是商务部门首次编制，从宏观与微观，产业与贸易机遇与风险等多个维度进行介绍，帮助中国企业提升开拓国际市场的能力和水平。,商务部发布的《国别贸易指南》的目的是什么？,帮助中国企业提升开拓国际市场的能力和水平。,介绍宏观与微观、产业与贸易机遇与风险等多个维度。,开拓国际市场的帮助不止来自商务部。,商务部外贸发展局也发布了《国别贸易指南》,
130,财联社9月18日电，有投资者问，请问“公司与通辽市政府国网蒙东电力公司签署通辽绿电铝示范项目（扎铝二期）合作协议”这么重要的资讯，为什么上市公司没有公告？电投能源在互动平台表示，关于建设扎铝二期事宜，近年来一直在开展前期工作，本次协议签署是为了获得当地政府和电网支持，进一步推动相关前期工作。,关于通辽绿电铝示范项目（扎铝二期）的合作协议签署情况，上市公司为什么没有公告？,扎铝二期工作一直在开展前期工作，协议签署只是为了获得政府和电网支持,上市公司没有意识到这个合作协议的重要性,上市公司不希望公开这个合作协议的信息,上市公司正在考虑是否参与扎铝二期工作,
131,【韩国敲定2024年最低时薪为9860韩元同比上涨2.5%】财联社 7月19日电，据韩联社消息，韩国最低工资委员会 7月18日晚至19日召开第15次全体会议，敲定2024年最低时薪为9860韩元（约合人民币56元），较今年上涨2.5%。此次工资磋商耗时110天，自现行制度实施的2007年以来创下最长纪录。,韩国2024年最低时薪同比上涨情况是？,上涨0.5%,上涨1.5%,上涨2.5%,上涨3.5%,
132,【渝农商行：副行长及监事长因达到法定退休年龄辞任】财联社10月12日电，渝农商行公告，因达到法定退休年龄，王敏辞去本行副行长职务。王敏的辞任自10月12日起生效，辞任后王敏不再担任本行任何职务。因达到法定退休年龄，杨小涛辞去本行监事、监事长及监事会履职尽职监督委员会主任委员、提名委员会委员职务。杨小涛的辞任自10月12日起生效，辞任后杨小涛不再担任本行任何职务。,渝农商行副行长和监事长因何原因辞任？,工作压力过大,个人身体原因,达到法定退休年龄,涉嫌违法违纪行为,
133,【韩国检方以涉嫌腐败起诉韩国最大在野党党首李在明】财联社10月12日电，据韩联社报道，当天韩国首尔中央地方检察厅以涉嫌腐败起诉韩国最大在野党共同民主党党首李在明。当地时间10月6日，韩国法院对李在明涉贪腐渎职案进行第一次公审。今年3月，韩国检方以李在明涉嫌渎职、受贿等对李在明提起公诉。,韩国最大在野党共同民主党党首李在明为什么被起诉？,涉嫌腐败,涉嫌刑事犯罪,涉嫌违反党纪,涉嫌以权谋私,
134,【中科江南：近期在广州数交所进场挂牌了十个数据要素产品】财联社10月12日电，中科江南近期接受投资者调研时称，近期，公司在广州数交所进场挂牌了十个数据要素产品，涵盖政务、医保、会计电子凭证等诸多领域，覆盖数据要素的供给、流通、应用等各个环节，用数据要素全生命周期的服务能力，助力数据要素资源化、资产化。,中科江南近期在哪个交所进场挂牌了十个数据要素产品?,北京数交所,广州数交所,上海数交所,深圳数交所,
135,【华为汽车概念震荡走高模塑科技等多股涨停】财联社10月12日电，华为汽车概念盘中震荡走高，模塑科技、隆基机械、光洋股份、凯众股份涨停，西菱动力涨近10%，长安汽车大涨7%，早盘一度跌近8%的圣龙股份快速拉起，目前涨超4%。消息面上，10月11日，华为与长安合作的新车型阿维塔12在重庆量产下线，即将正式上市交付，今年第四季度，阿维塔12将在中国市场开启交付。,华为汽车概念股的涨停股中不包含哪一只股票？,模塑科技,隆基机械,光洋股份,圣龙股份,
136,【5.5G概念股震荡走强硕贝德20CM涨停】财联社10月13日电，5.5G概念股快速走强，硕贝德20CM涨停，通宇通讯涨停，大富科技、麦捷科技、灿勤科技、盛路通信、意华股份、信科移动等跟涨。消息面上，近日，在2023全球移动宽带论坛期间，华为发布了全球首个全系列5.5G产品解决方案。,5.5G概念股受到哪个公司发布的全系列5.5G产品解决方案的影响而走强?,硕贝德,通宇通讯,华为,盛路通信,
137,【华润三九：控股子公司抗疟药产品通过世卫组织预认证】财联社10月12日电，华润三九公告，近日，控股子公司昆药集团股份有限公司之全资子公司北京华方科泰医药有限公司的抗疟药双氢青蒿素磷酸哌喹片40mg/320mg通过世界卫生组织的预认证，被世界卫生组织列入国际组织及公立机构抗疟药采购范围。,华润三九的哪个子公司的抗疟药通过了世卫组织的预认证?,北京华方科泰医药有限公司,昆药集团股份有限公司,华润三九,世界卫生组织,
138,【塔里木盆地万亿方新气区进入全面开发阶段】财联社10月15日电，中国石油今天（15日）发布消息，我国最大超深凝析气田——塔里木油田博孜大北气田全面建成投产，标志着塔里木盆地新的万亿方大气区迈入规模开发新阶段，给西气东输安全平稳供气再添新保障。,塔里木盆地的新气区建设对西气东输有何意义？,塔里木盆地新气区建设将提高西气东输的供气量,塔里木盆地新气区建设将增加西气东输的供气稳定性,塔里木盆地新气区建设将减少西气东输的供气成本,塔里木盆地新气区建设对西气东输没有影响,
139,【沃尔核材：子公司深圳沃尔新能源生产的大功率液冷充电枪已形成小批量销售】财联社10月12日电，沃尔核材在互动平台表示，公司子公司深圳沃尔新能源生产的大功率液冷充电枪已形成小批量销售，且其参与起草的电动汽车传导充电连接装置系列国家标准（GB/T20234.1、GB/T20234.4）已于2023年9月发布。,沃尔核材子公司深圳沃尔新能源生产的哪种产品已形成小批量销售？,大功率液冷充电枪,电动汽车传导充电连接装置,充电宝,太阳能发电板,
140,【泰山石油：前三季度净利润同比预增166%-259%】财联社10月13日电，泰山石油发布业绩预告，预计前三季度净利润2000万元-2700万元，同比增长166%-259%。报告期内，受益于经济及旅游市场复苏，成品油经营量效提升，公司营业收入同比增长，经营业绩实现较大幅度增长。,泰山石油前三季度净利润增长的原因是什么？,经济和旅游市场复苏,成品油经营量效提升,公司营业收入同比增长,泰山石油的投资收益增加,
141,【证监会同意短纤等六个商品期权注册】财联社10月13日电，证监会同意郑州商品交易所短纤、纯碱、锰硅、硅铁、尿素、苹果期权注册。证监会将督促郑州商品交易所做好各项准备工作，确保上述期权品种的平稳推出和稳健运行。,以下哪个期权品种被证监会同意注册？,短纤,石油,大豆,铁矿石,
142,【深交所：对苏大维格有关“光刻机”误导性陈述启动纪律处分程序】财联社10月12日电，深交所公告，苏大维格在互动易平台对投资者提问的有关“光刻机”相关回复受到媒体和投资者广泛质疑，并引起公司股价大幅波动，涉嫌存在不真实、不准确、不完整情形及误导性陈述，市场影响恶劣，将对苏大维格及相关违规当事人启动纪律处分程序。,苏大维格为何受到深交所纪律处分程序？,存在不真实、不准确、不完整情形及误导性陈述,股价大幅波动,相关违规当事人存在市场影响恶劣,投资者对苏大维格的回复提出质疑,
143,【商务部：四季度将多措并举推动消费持续恢复扩大】财联社10月12日电，商务部新闻发言人何亚东表示，步入四季度，商务部将按照“消费提振年”的总体要求，多措并举，推动消费持续恢复扩大。加快推动促进汽车、家居、电子产品消费以及近日出台的推动汽车后市场高质量发展等各个措施落地见效，更好发挥消费对经济增长的基础性作用。,商务部加快推动消费恢复扩大的措施包括哪些？,促进汽车后市场高质量发展,加大对房地产行业的扶持力度,减少电子产品的生产和销售,推动农业产业的发展,
144,【教育板块持续活跃中公教育涨停】财联社10月12日电，教育板块延续昨日强势，中公教育涨停，学大教育、美吉姆涨超5%，昂立教育、创业黑马、中国高科等跟涨。消息面上，10月11日，网易有道宣布，搭载有道“子曰”教育大模型的全球首个虚拟人口语私教HiEcho正式推出独立App和微信小程序。此外，9月份，教育相关AI应用流量增长显著，GPTZero、Chegg等平台教育类中检测工具、题库访问量翻倍。,教育板块最近涨势强劲，以下哪家公司没有参与涨幅？,中公教育,学大教育,美吉姆,网易有道,
145,【万向钱潮：引进普星聚能作为优先光伏发电项目合作伙伴】财联社10月13日电，万向钱潮公告，公司引进普星聚能作为优先光伏发电项目合作伙伴，并支持普星聚能在公司区域内（包含下属公司）投资开发光伏发电项目，光伏发电项目装机容量在协议当年不高于25兆瓦（MWp)，总发电量不超于1300万度，往来交易额不超于1000万元。,万向钱潮公司引进普星聚能作为优先光伏发电项目合作伙伴的支持内容是什么？,光伏发电项目装机容量在协议当年不高于50兆瓦（MWp),光伏发电项目总发电量不超于1300万度,光伏发电项目装机容量在协议当年不低于25兆瓦（MWp),往来交易额不超于500万元,
146,【美联储理事Bowman：若通胀和就业市场持续火热美联储需要进一步加息】财联社 5月12日电，美联储理事MichelleBowman表示，如果美国价格压力没有降温，就业市场未显现放缓迹象，美联储可能需要进一步加息，并在一段时间内维持在较高水平。在本月早些时候的一次会议上，美联储将利率上调25个基点，至5%-5.25%，并暗示可能准备暂停紧缩周期。,根据资讯内容判断美联储的下一步决策是什么？,暂停紧缩周期,进一步加息,降低利率,维持当前利率水平,
147,【多氟多：拟将盈氟金和67%股权有偿划转至白银中天】财联社10月12日电，多氟多公告，公司将所持有盈氟金和67%的股权有偿划转至公司全资子公司白银中天，以增加对白银中天的投资。本次股权划转完成后，白银中天将持有盈氟金和67%的股权，多氟多不再直接持有盈氟金和股权。,多氟多将盈氟金和67%股权有偿划转至白银中天的原因是什么？,为了降低多氟多对盈氟金的投资风险,为了增加对白银中天的投资,为了减少多氟多的负债风险,为了增加多氟多对盈氟金的控制力,
148,【招商证券：年内降息概率不大降准或有一定空间】财联社10月15日电，招商证券首席宏观分析师张静静指出，未来可能降息的概率不一定会很大，毕竟经济已经在向好了。但就降准来讲的话，完全是要配合有没有流动性缺口，如果有的话或者说成本比较高，比如说MLF到期的规模比较大，这个时候可能会有，目前我们看有可能还有一定的降准的空间。,招商证券对未来降息和降准的观点是什么？,未来可能会大幅降息,未来不太可能降息,未来可能会有一定的降准空间,未来不太可能降准,
149,【江特电机：茜坑、梅家矿区的“探转采”工作均在正常推进中】财联社10月15日电，江特电机披露股票交易异常波动公告，截止本公告日，公司茜坑、梅家矿区的“探转采”工作均在正常推进中，进展顺利。上述两个矿区的“开发利用方案”目前已经分别通过了国家自然资源部、宜春市自然资源局组织的专家评审，接下来将进入到“矿山地质环境保护与土地复垦方案”的评审中，该程序完成后将进入采矿权证申请环节。,江特电机茜坑、梅家矿区的“探转采”工作是否正常推进?,正常推进,暂停推进,进展缓慢,未披露具体情况,
150,2023年10月13日，财联社电，海伦哲股东上海顶航慧恒企业咨询合伙企业(有限合伙)发布增持方案。上海顶航慧恒企业咨询合伙企业(有限合伙)拟于未来7月内增持不少于35000000股，本次增持计划未设定价格区间，上海顶航慧恒企业咨询合伙企业(有限合伙)将根据二级市场股价波动，逐步实施增持计划。,海伦哲股东上海顶航慧恒企业咨询合伙企业(有限合伙)发布增持方案，增持股数为多少？,35000000股,不少于35000000股,40000000股,未设定股数,
151,【深圳能源：获取汕尾红海湾六50万千瓦海上风电项目开发权】财联社10月13日电，深圳能源公告，近日，广东省发展和改革委员会下发了广东省2023年省管海域海上风电项目竞争配置结果，公司正式获取汕尾红海湾六50万千瓦海上风电项目开发权。项目位于广东省汕尾红海湾海域，场址离岸距离约45公里，规划装机容量50万千瓦。,深圳能源最近获得的海上风电项目是位于哪个海域？,汕尾红海湾,广东省海域,深圳海域,未提及,
152,【 温州宏丰：孙公司拟1.2亿元投建高端新型合金材料项目】财联社 6月28日电，温州宏丰公告，孙公司拟与浙江温州海洋经济发展示范区管理委员会签署投资协议书，投资建设“高端新型合金材料项目”，总投资1.2亿元，主要生产硬质合金材料。,温州宏丰公司的孙公司拟投资建设的项目是什么？,高端新型合金材料项目,硬质合金材料项目,浙江温州海洋经济发展示范区项目,温州宏丰公司的投资协议书,
153,【美联储10月11日当周贴现窗贷款余额小幅下降至25.8亿美元】财联社10月13日电，美联储10月11日当周贴现窗贷款余额25.8亿美元，之前一周27.7亿美元。10月11日当周银行定期融资贷款余额1089亿美元，之前一周1077亿美元。,美联储贴现窗贷款余额的变化情况是怎样的?,贴现窗贷款余额上升,贴现窗贷款余额下降,贴现窗贷款余额保持不变,文中没有提及贴现窗贷款余额的变化,
