id,question,A,B,C,D,answer
199,财联社4月25日电，陶瓷产业板块继续走弱，跌幅超过3%，其中蓝思科技跌幅超12%，东方锆业跌幅超5%，三祥新材跌幅超4%。,未知,利好,利空,中性,
200,财联社4月25日电，半导体材料板块继续走弱，跌幅超过4%，其中中科电气跌幅超20%，神工股份跌幅超11%，圣泉集团跌幅超10%。,中性,利好,利空,未知,
201,财联社4月25日电，比亚迪概念板块继续走弱，跌幅超过4%，其中中科电气跌幅超20%，雅创电子跌幅超10%，万丰奥威跌幅超9%。,利好,利空,中性,未知,
202,财联社4月25日电，医用器械板块继续走弱，跌幅超过4%，其中昌红科技跌幅超19%，中红医疗跌幅超11%，华大智造跌幅超10%。,利空,中性,利好,未知,
203,财联社4月25日电，边缘计算板块继续走弱，跌幅超过3%，其中浩云科技跌幅超11%，京蓝科技跌幅超10%，东土科技跌幅超9%。,中性,未知,利好,利空,
204,财联社4月25日电，医疗器械板块继续走弱，跌幅超过4%，其中昌红科技跌幅超19%，茂莱光学跌幅超16%，凯普生物跌幅超15%。,利好,利空,中性,未知,
205,财联社4月25日电，商用密码板块继续走弱，跌幅超过4%，其中中孚信息跌幅超7%，数字认证跌幅超5%，电科网安跌幅超4%。,利好,利空,未知,中性,
206,财联社4月25日电，C2M板块继续走弱，跌幅超过3%，其中汉得信息跌幅超8%，尚品宅配跌幅超5%，慕思股份跌幅超5%。,利好,利空,中性,未知,
207,财联社4月25日电，石墨烯板块继续走弱，跌幅超过4%，其中中科电气跌幅超20%，圣泉集团跌幅超10%，创益通跌幅超9%。,利空,利好,中性,未知,
208,财联社4月25日电，四川板块继续走弱，跌幅超过3%，其中富临精工跌幅超18%，圣诺生物跌幅超13%，观想科技跌幅超9%。,利好,未知,利空,中性,
209,财联社4月25日电，车载EDR板块继续走弱，跌幅超过3%，其中启明信息跌幅超9%，锐明技术跌幅超9%，国民技术跌幅超4%。,中性,利空,利好,未知,
210,财联社4月25日电，成飞概念板块继续走弱，跌幅超过4%，其中华如科技跌幅超13%，昆船智能跌幅超6%，西菱动力跌幅超4%。,利好,利空,中性,未知,
211,财联社4月25日电，太空互联网板块继续走弱，跌幅超过4%，其中全信股份跌幅超19%，中国卫通跌幅超9%，亚光科技跌幅超8%。,利好,未知,利空,中性,
212,财联社4月25日电，第三代半导体板块继续走弱，跌幅超过4%，其中联动科技跌幅超20%，天通股份跌幅超10%，三安光电跌幅超9%。,中性,利空,未知,利好,
213,财联社4月25日电，单车板块继续走弱，跌幅超过3%，其中中微半导跌幅超6%，星源卓镁跌幅超5%，久祺股份跌幅超4%。,利好,未知,中性,利空,
214,财联社4月25日电，人脑工程板块继续走弱，跌幅超过3%，其中冠昊生物跌幅超6%，创新医疗跌幅超6%，均胜电子跌幅超4%。,利空,未知,中性,利好,
215,财联社4月25日电，AI模型板块继续走弱，跌幅超过3%，其中启明信息跌幅超9%，东土科技跌幅超9%，首都在线跌幅超8%。,利空,利好,中性,未知,
216,财联社4月25日电，军工板块继续走弱，跌幅超过3%，其中全信股份跌幅超19%，华如科技跌幅超12%，天秦装备跌幅超11%。,利空,中性,利好,未知,
217,财联社4月25日电，毫米波雷达板块继续走弱，跌幅超过4%，其中美格智能跌幅超10%，本川智能跌幅超9%，南京聚隆跌幅超5%。,中性,利空,利好,未知,
218,财联社4月25日电，浙江板块继续走弱，跌幅超过3%，其中佩蒂股份跌幅超20%，品茗科技跌幅超15%，汉嘉设计跌幅超14%。,中性,利空,利好,未知,
219,财联社4月25日电，尾气治理板块继续走弱，跌幅超过3%，其中丰元股份跌幅超6%，艾可蓝跌幅超5%，飞龙股份跌幅超5%。,利好,中性,利空,未知,
220,财联社4月25日电，导弹板块继续走弱，跌幅超过3%，其中亚光科技跌幅超8%，红相股份跌幅超5%，中兵红箭跌幅超4%。,利好,利空,未知,中性,
221,财联社4月25日电，碳纤维板块继续走弱，跌幅超过3%，其中亚太科技跌幅超8%，星源材质跌幅超4%，海源复材跌幅超4%。,利空,未知,利好,中性,
222,财联社4月25日电，华为汽车板块继续走弱，跌幅超过4%，其中富临精工跌幅超19%，启明信息跌幅超9%，京泉华跌幅超9%。,中性,利空,未知,利好,
223,财联社4月25日电，山西板块继续走弱，跌幅超过3%，其中振东制药跌幅超10%，美锦能源跌幅超6%，同德化工跌幅超6%。,利空,未知,利好,中性,
224,财联社4月25日电，通用设备板块继续走弱，跌幅超过4%，其中拓斯达跌幅超19%，创世纪跌幅超15%，丰立智能跌幅超10%。,未知,利空,中性,利好,
225,财联社4月25日电，污水处理板块继续走弱，跌幅超过3%，其中京蓝科技跌幅超10%，楚环科技跌幅超7%，湘潭电化跌幅超7%。,中性,利好,利空,未知,
226,财联社4月25日电，独角兽板块继续走弱，跌幅超过3%，其中新开普跌幅超19%，天华新能跌幅超10%，药明康德跌幅超10%。,未知,利好,利空,中性,
227,财联社4月25日电，棉花板块继续走弱，跌幅超过3%，其中敦煌种业跌幅超5%，常山北明跌幅超4%，天鹅股份跌幅超3%。,利好,利空,中性,未知,
228,财联社4月25日电，科学仪器板块继续走弱，跌幅超过3%，其中阿拉丁跌幅超6%，禾信仪器跌幅超6%，三德科技跌幅超5%。,中性,利空,未知,利好,
229,财联社4月25日电，数字乡村板块继续走弱，跌幅超过3%，其中京蓝科技跌幅超10%，芭田股份跌幅超5%，广电网络跌幅超4%。,利好,中性,未知,利空,
230,财联社4月25日电，海工装备板块继续走弱，跌幅超过3%，其中亚光科技跌幅超9%，天海防务跌幅超6%，福达股份跌幅超4%。,利空,利好,未知,中性,
231,财联社4月25日电，ETC板块继续走弱，跌幅超过4%，其中梦网科技跌幅超9%，金溢科技跌幅超7%，楚天龙跌幅超6%。,未知,利空,中性,利好,
232,财联社4月25日电，广西板块继续走弱，跌幅超过3%，其中华蓝集团跌幅超12%，河化股份跌幅超4%，福达股份跌幅超4%。,中性,利空,未知,利好,
233,财联社4月25日电，碳中和板块继续走弱，跌幅超过3%，其中榕基软件跌幅超7%，华盛昌跌幅超7%，双良节能跌幅超7%。,利好,利空,未知,中性,
234,财联社4月25日电，阿尔兹海默板块继续走弱，跌幅超过3%，其中新华制药跌幅超7%，双成药业跌幅超5%，力生制药跌幅超5%。,利空,利好,中性,未知,
235,财联社4月25日电，玻尿酸板块继续走弱，跌幅超过3%，其中冠昊生物跌幅超7%，景峰医药跌幅超4%，朗姿股份跌幅超4%。,利空,利好,中性,未知,
236,财联社4月25日电，培育钻石板块继续走弱，跌幅超过4%，其中沃尔德跌幅超5%，中兵红箭跌幅超5%，黄河旋风跌幅超5%。,未知,中性,利空,利好,
237,财联社4月25日电，车联网板块继续走弱，跌幅超过4%，其中创耀科技跌幅超13%，移远通信跌幅超10%，启明信息跌幅超9%。,利好,中性,利空,未知,
238,财联社4月25日电，宠物经济板块继续走弱，跌幅超过5%，其中佩蒂股份跌幅超20%，依依股份跌幅超8%，中宠股份跌幅超4%。,利空,中性,利好,未知,
239,财联社4月25日电，半导体芯片板块继续走弱，跌幅超过4%，其中佰维存储跌幅超14%，创耀科技跌幅超13%，雅创电子跌幅超12%。,未知,利空,中性,利好,
240,财联社4月25日电，宁夏板块继续走弱，跌幅超过4%，其中宝塔实业跌幅超9%，英力特跌幅超8%，东方钽业跌幅超7%。,未知,中性,利空,利好,
241,财联社4月25日电，风电板块继续走弱，跌幅超过3%，其中天奇股份跌幅超9%，博菲电气跌幅超9%，屹通新材跌幅超8%。,中性,利空,未知,利好,
242,财联社4月25日电，华为产业链板块继续走弱，跌幅超过4%，其中新开普跌幅超19%，拓斯达跌幅超19%，富临精工跌幅超19%。,未知,利好,利空,中性,
243,财联社4月25日电，稀土永磁板块继续走弱，跌幅超过4%，其中天通股份跌幅超10%，盛新锂能跌幅超9%，章源钨业跌幅超9%。,未知,利空,利好,中性,
244,财联社4月25日电，芯片产业链板块继续走弱，跌幅超过4%，其中中科电气跌幅超20%，联动科技跌幅超20%，茂莱光学跌幅超15%。,利好,中性,利空,未知,
245,【主力资金监控：医药生物板块净流出超40亿】财联社4月25日电，财联社星矿数据显示，今日无主力资金净流入的板块，净流出医药生物、有色金属、化工等板块，其中医药生物板块净流出40.64亿。个股方面，科大讯飞上涨，主力资金净买入3.10亿元，金证股份、网宿科技、江苏银行等获主力资金净流入居前；浪潮信息遭净卖出超9亿，宁德时代、药明康德、三安光电等主力资金净流出额居前。,利好,未知,中性,利空,
246,上证报中国证券网讯4月25日，AIGC概念股探底回升，截至14：22，焦点科技涨停，掌趣科技、蓝色光标、吉宏股份等涨超4%。,利好,中性,未知,利空,
247,【电池级碳酸锂均价今日维持在18万元/吨不变工业级碳酸锂涨4000元/吨】财联社4月25日电，据上海钢联发布数据显示，电池级碳酸锂止跌，均价仍报18万元/吨，工业级碳酸锂涨4000元/吨，均价报14.15万元/吨；氢氧化锂跌5000~8500元/吨；镍豆涨1100元/吨。,未知,利好,利空,中性,
248,【旅游酒店股持续走弱西域旅游连续两日20CM跌停】财联社4月25日电，西域旅游连续两日20CM跌停，西安旅游触及跌停，西安饮食、全聚德跌超8%，天目湖、曲江文旅跌超6%。,未知,中性,利空,利好,
249,【传媒股开盘下挫读客文化跌超10%】财联社4月26日电，读客文化跌超10%，中信出版、慈文传媒跌超5%，掌阅科技、浙数文化、粤传媒、中文传媒等跟跌。,利好,中性,未知,利空,
250,财联社4月26日电，红外技术板块继续走强，涨幅超过3%，其中久之洋涨幅超12%，华中数控涨幅超4%，大立科技涨幅超3%。,利好,利空,中性,未知,
251,财联社4月26日电，液冷IDC板块继续走强，涨幅超过4%，其中高澜股份涨幅超14%，申菱环境涨幅超9%，中石科技涨幅超9%。,未知,利空,利好,中性,
252,财联社4月26日电，尾气治理板块继续走强，涨幅超过3%，其中奥福环保涨幅超17%，建龙微纳涨幅超11%，华培动力涨幅超9%。,未知,利空,中性,利好,
253,上证报中国证券网讯4月26日上午，特高压板块表现活跃。9时57分，高澜股份涨近18%，安靠智电上涨超9%，中元股份、金冠电气涨超8%。,利空,未知,利好,中性,
254,财联社4月26日电，存储器板块继续走弱，跌幅超过3%，其中美格智能跌幅超9%，深科技跌幅超9%，万润科技跌幅超6%。,未知,利好,中性,利空,
255,财联社4月26日电，AIGC板块继续走弱，跌幅超过3%，其中拓尔思跌幅超11%，富春股份跌幅超11%，风语筑跌幅超9%。,中性,利好,未知,利空,
256,财联社4月26日电，MLOps板块继续走弱，跌幅超过4%，其中绿盟科技跌幅超6%，万达信息跌幅超5%，启明信息跌幅超4%。,中性,未知,利好,利空,
257,财联社4月26日电，爱奇艺概念板块继续走弱，跌幅超过4%，其中*ST新文跌幅超20%，百纳千成跌幅超5%，欢瑞世纪跌幅超5%。,中性,利好,未知,利空,
258,财联社4月26日电，CPO板块继续走弱，跌幅超过3%，其中锐捷网络跌幅超13%，光迅科技跌幅超10%，博创科技跌幅超7%。,利好,中性,利空,未知,
259,财联社4月26日电，疫情监测板块继续走弱，跌幅超过3%，其中优刻得跌幅超8%，美亚柏科跌幅超6%，科大国创跌幅超5%。,利好,利空,中性,未知,
260,财联社4月26日电，算力芯片板块继续走弱，跌幅超过5%，其中龙芯中科跌幅超11%，海光信息跌幅超9%，云天励飞跌幅超8%。,中性,利空,利好,未知,
261,财联社4月26日电，智慧城市板块继续走弱，跌幅超过3%，其中中科曙光跌幅超9%，神州数码跌幅超9%，太极股份跌幅超9%。,中性,利空,利好,未知,
262,财联社4月26日电，国资云板块继续走弱，跌幅超过4%，其中紫光股份跌幅超10%，太极股份跌幅超9%，浪潮信息跌幅超9%。,利好,中性,利空,未知,
263,财联社4月26日电，数字政务板块继续走弱，跌幅超过4%，其中拓尔思跌幅超13%，太极股份跌幅超9%，中科软跌幅超8%。,利好,利空,中性,未知,
264,财联社4月26日电，华为昇腾板块继续走弱，跌幅超过3%，其中拓维信息跌幅超9%，华宇软件跌幅超7%，彩讯股份跌幅超7%。,利空,未知,利好,中性,
265,财联社4月26日电，影视板块继续走弱，跌幅超过3%，其中*ST新文跌幅超20%，喜临门跌幅超10%，慈文传媒跌幅超7%。,利空,中性,未知,利好,
266,财联社4月26日电，MLOps板块继续走弱，跌幅超过5%，其中绿盟科技跌幅超7%，万达信息跌幅超6%，东方国信跌幅超5%。,中性,未知,利空,利好,
267,财联社4月26日电，IPv6板块继续走弱，跌幅超过3%，其中紫光股份跌幅超10%，烽火通信跌幅超9%，浪潮信息跌幅超7%。,利好,利空,中性,未知,
268,财联社4月26日电，数据要素板块继续走弱，跌幅超过3%，其中拓尔思跌幅超12%，太极股份跌幅超9%，每日互动跌幅超9%。,利空,未知,利好,中性,
269,财联社4月26日电，算力工程板块继续走弱，跌幅超过4%，其中龙芯中科跌幅超10%，工业富联跌幅超10%，紫光股份跌幅超10%。,中性,利空,利好,未知,
270,财联社4月26日电，大基金系板块继续走弱，跌幅超过4%，其中长电科技跌幅超10%，兴森科技跌幅超9%，万业企业跌幅超8%。,未知,中性,利好,利空,
271,财联社4月26日电，中芯国际概念板块继续走弱，跌幅超过3%，其中长电科技跌幅超10%，华海清科跌幅超9%，华特气体跌幅超8%。,未知,利空,利好,中性,
272,财联社4月26日电，电池板块继续走强，涨幅超过3%，其中派能科技涨幅超19%，鹏辉能源涨幅超10%，孚能科技涨幅超6%。,利空,利好,未知,中性,
273,财联社4月26日电，麒麟电池板块继续走强，涨幅超过4%，其中回天新材涨幅超11%，铭利达涨幅超8%，科创新源涨幅超5%。,未知,利空,利好,中性,
274,财联社4月26日电，异质结电池板块继续走强，涨幅超过4%，其中帝科股份涨幅超16%，金辰股份涨幅超8%，东方日升涨幅超8%。,未知,中性,利空,利好,
275,财联社4月26日电，宁德时代概念板块继续走强，涨幅超过3%，其中高澜股份涨幅超13%，科士达涨幅超10%，德方纳米涨幅超8%。,利空,利好,未知,中性,
276,财联社4月26日电，固态电池板块继续走强，涨幅超过4%，其中金银河涨幅超9%，中自科技涨幅超8%，南都电源涨幅超8%。,中性,利好,未知,利空,
277,财联社4月26日电，TOPCon电池板块继续走强，涨幅超过5%，其中帝科股份涨幅超17%，爱旭股份涨幅超10%，钧达股份涨幅超10%。,利好,未知,利空,中性,
278,财联社4月26日电，稀土永磁板块继续走强，涨幅超过3%，其中铂科新材涨幅超16%，立中集团涨幅超10%，银河磁体涨幅超8%。,未知,利好,利空,中性,
279,财联社4月26日电，单车板块继续走强，涨幅超过3%，其中博力威涨幅超8%，南都电源涨幅超8%，天能股份涨幅超6%。,未知,利好,利空,中性,
280,上证报中国证券网讯4月26日上午，锂电池板块持续反弹。11时27分，鹏辉能源涨超10%，亿纬锂能涨超8%，孚能科技、博力威、科利达等跟涨。,利好,未知,利空,中性,
281,财联社4月26日电，汽车热管理板块继续走强，涨幅超过3%，其中高澜股份涨幅超10%，祥鑫科技涨幅超7%，祥明智能涨幅超6%。,未知,利空,利好,中性,
282,【报告：手机面板市场需求回暖价格能否上涨仍待观察】财联社4月26日电，CINNOResearch报告显示，经历了2022全年的减产和消库存状态，终端面板库存见底，叠加年中促销季带动，市场情绪乐观，面板需求大幅增加，快速传导至上游面板厂，a-Si/LTPS面板以及柔性AMOLED等大部分项目均有相应的加单情况，部分产品订单能见度已直达6月底，但价格并没有随之反弹，仍处于下行通道，价格能否触底反弹，将取决于下半年的需求情况。,利空,利好,未知,中性,
283,【电池级碳酸锂均价今日维持在18万元/吨工业级碳酸锂涨5000元/吨】财联社4月26日电，据上海钢联发布数据显示，电池级碳酸锂止跌，均价仍报18万元/吨，工业级碳酸锂涨5000元/吨，均价报14.65万元/吨；氢氧化锂跌4000~5000元/吨；镍豆跌2500元/吨。,中性,未知,利空,利好,
284,中证网讯4月26日，光伏、电池相关ETF一改此前“五连跌”趋势，大幅上涨。Wind数据显示，截至收盘，光伏ETF大涨6.87%，电池50ETF（159796）上涨6.74%。此外，多只新能源龙头、碳中和相关ETF涨幅超过5%。,未知,中性,利好,利空,
285,中证网讯 4月26日，港股主要指数收盘上涨。据Wind数据，香港恒生指数收涨0.71%，报19757.27点；恒生中国企业指数涨0.80%，报6654.40点；恒生科技指数涨1.25%，报3872.01点。行业板块方面，汽车、软件等板块领涨。,利好,未知,利空,中性,
286,【传媒股快速反弹新华文轩4连板】财联社4月27日电，新华文轩4连板，长江传媒、龙版传媒涨停，山东出版、城市传媒、北京文化、中国出版、唐德影视、上海电影等涨超5%。,利空,未知,利好,中性,
287,上证报中国证券网讯4月27日，保险板块集体走强，截至9：42，中国平安涨超5%，新华保险、中国太保、中国人寿等上扬。,利好,中性,利空,未知,
288,财联社4月27日电，游戏板块继续走弱，跌幅超过3%，其中冰川网络跌幅超13%，*ST文化跌幅超12%，盛天网络跌幅超11%。,利空,中性,未知,利好,
289,财联社4月27日电，NFT文交所板块继续走弱，跌幅超过3%，其中中文在线跌幅超17%，视觉中国跌幅超10%，汤姆猫跌幅超8%。,未知,中性,利好,利空,
290,财联社4月27日电，抗高血压板块继续走强，涨幅超过5%，其中天宇股份涨幅超18%，吉贝尔涨幅超7%，哈药股份涨幅超7%。,中性,利好,未知,利空,
291,财联社4月27日电，AIGC板块继续走弱，跌幅超过4%，其中中文在线跌幅超18%，富春股份跌幅超13%，视觉中国跌幅超10%。,中性,未知,利好,利空,
292,财联社4月27日电，医药生物板块继续走强，涨幅超过3%，其中天宇股份涨幅超20%，普蕊斯涨幅超20%，金石亚药涨幅超17%。,利好,利空,中性,未知,
293,财联社4月27日电，止泻药板块继续走强，涨幅超过4%，其中千金药业涨幅超9%，江中药业涨幅超6%，康恩贝涨幅超5%。,未知,利好,中性,利空,
294,财联社4月27日电，肝炎治疗板块继续走强，涨幅超过3%，其中普蕊斯涨幅超20%，拓新药业涨幅超14%，吉贝尔涨幅超8%。,利好,利空,中性,未知,
295,财联社4月27日电，数据要素板块继续走弱，跌幅超过3%，其中中文在线跌幅超20%，中科信息跌幅超16%，浙数文化跌幅超10%。,中性,利空,未知,利好,
296,财联社4月27日电，AI模型板块继续走弱，跌幅超过3%，其中万兴科技跌幅超10%，三六零跌幅超10%，昆仑万维跌幅超9%。,未知,中性,利空,利好,
297,财联社4月27日电，CPO板块继续走弱，跌幅超过7%，其中联特科技跌幅超12%，新易盛跌幅超11%，光库科技跌幅超11%。,利空,中性,利好,未知,
298,【AI概念股午后掀跌停潮】财联社4月27日电，中文在线、中石科技20CM跌停，三六零、剑桥科技、奥飞娱乐、慈文传媒、视觉中国、中科曙光等多股跌停。,中性,利好,未知,利空,
299,财联社4月27日电，谷歌概念板块继续走弱，跌幅超过3%，其中精研科技跌幅超20%，万兴科技跌幅超10%，*ST中昌跌幅超4%。,利空,未知,中性,利好,
300,财联社4月27日电，AI服务器板块继续走弱，跌幅超过4%，其中万兴科技跌幅超10%，中科曙光跌幅超9%，同方股份跌幅超8%。,利空,未知,中性,利好,
